('OPK', '5.40')
('OPRA', '9.34')
('OPTT', '4.9200')
('ORBC', '8.55')
('ORTX', '7.74')
('OTIC', '5.57')
('OVID', '3.2470')
('OXSQ', '3.9200')
('PAA', '9.05')
('PAGP', '9.15')
('PAYS', '5.21')
('PBPB', '5.26')
('PCTI', '8.41')
('PCYG', '7.50')
('PFMT', '1.1900')
('PFSW', '7.46')
('PGEN', '8.16')
('PHAS', '4.3500')
('PICO', '9.05')
('PIRS', '2.8800')
('PLYA', '6.29')
('PNNT', '5.75')
('PRGX', '7.54')
('PROG', '6.01')
('PRQR', '5.07')
('PRTK', '8.05')
('PSEC', '6.83')
('PSTI', '6.99')
('PSTX', '9.28')
('PTE', '1.2300')
('PTEN', '6.31')
('PTMN', '2.0100')
('PWFL', '7.98')
('PXLW', '3.4900')
('QLGN', '4.1400')
('QMCO', '8.11')
('QTNT', '5.24')
('QTT', '3.8100')
('QUIK', '4.2700')
('RAIL', '4.2300')
('RAVE', '1.2500')
('RBBN', '9.07')
('RCMT', '2.9900')
('RDHL', '9.32')
('RDI', '6.26')
('REDU', '6.00')
('REED', '1.0800')
('REFR', '5.3900')
('RELL', '6.07')
('REPH', '3.7300')
('RESN', '7.55')
('RFIL', '6.15')
('RGLS', '1.6000')
('RIGL', '4.8000')
('RKDA', '3.2500')
('RMNI', '8.05')
('RMTI', '1.4400')
('RNWK', '3.0250')
('RVSB', '5.62')
('SANW', '3.6500')
('SBBP', '3.1000')
('SCOR', '4.2900')
('SCYX', '9.34')
('SEAC', '1.3400')
('SECO', '2.8400')
('SELB', '5.1400')
('SESN', '2.4100')
('SFT', '8.31')
('SIEB', '5.65')
('SIEN', '5.98')
('SIFY', '2.9800')
('SIGA', '6.83')
('SIRI', '6.14')
('SLDB', '8.00')
('SLNO', '2.7100')
('SMMT', '9.41')
('SMSI', '7.99')
('SMTX', '5.87')
('SNCR', '4.83')
('SND', '2.0700')
('SNDL', '1.1500')
('SNSS', '3.0700')
('SOLO', '8.82')
('SPPI', '3.9700')
('SPRT', '2.4900')
('SRAX', '4.77')
('SRET', '9.20')
('SREV', '1.6900')
('SRGA', '2.9073')
('STCN', '1.9300')
('SVRA', '2.0000')
('SVVC', '6.40')
('SYBX', '4.2400')
('SYNC', '2.0900')
('SYNL', '8.11')
('TACT', '8.62')
('TAST', '6.88')
('TCDA', '7.40')
('TELL', '3.3900')
('TLMD', '7.94')
('TLSA', '4.0800')
('TNAV', '4.7800')
('TOUR', '2.8000')
('TRIB', '5.86')
('TRST', '6.55')
('TRUE', '5.00')
('TRVG', '2.6600')
('TRVN', '2.6600')
('TTNP', '3.7500')
('TTOO', '3.2500')
('TURN', '6.90')
('TUSK', '4.5100')
('TWIN', '8.60')
('TXMD', '2.2370')
('TYME', '2.4700')
('UBX', '8.10')
('UEPS', '4.6835')
('UIHC', '5.59')
('ULBI', '6.61')
('USAT', '9.78')
('UTSI', '2.0600')
('UXIN', '1.4700')
('VBIV', '3.8951')
('VBLT', '2.5000')
('VCNX', '3.1600')
('VEON', '1.6900')
('VKTX', '9.67')
('VRA', '9.08')
('VRAY', '5.10')
('VRNA', '8.62')
('VSTM', '2.3800')
('VTNR', '2.0750')
('VXRT', '8.12')
('VYGR', '7.55')
('WATT', '3.9800')
('WETF', '5.49')
('WNEB', '7.16')
('WTRH', '4.0300')
('WWR', '9.42')
('XAIR', '6.50')
('XERS', '7.34')
('XNET', '5.87')
('XSPA', '2.1983')
('YRCW', '5.46')
('ZAGG', '4.2600')
('ZIOP', '5.22')
('ZIXI', '9.84')
('ZVO', '5.63')
('ZYNE', '5.38')
