('USAP', '8.07')
('USAT', '9.78')
('USEG', '5.61')
('USIO', '6.46')
('USOI', '4.9735')
('USWS', '1.0500')
('USWSW', '0.0480')
('UTSI', '2.0600')
('UXIN', '1.4700')
('VACQW', '1.9000')
('VBIV', '3.8951')
('VBLT', '2.5000')
('VCNX', '3.1600')
('VCVCW', '4.3000')
('VEON', '1.6900')
('VERB', '2.0100')
('VERBW', '0.3000')
('VERO', '2.1800')
('VIHAW', '4.0500')
('VINCW', '4.2000')
('VIOT', '7.55')
('VIRC', '3.2500')
('VIRI', '7.78')
('VISL', '4.4800')
('VIVE', '3.8400')
('VKTX', '9.67')
('VKTXW', '6.21')
('VLDRW', '8.80')
('VMACW', '1.0100')
('VRA', '9.08')
('VRAY', '5.10')
('VRME', '4.73')
('VRMEW', '1.4900')
('VRNA', '8.62')
('VS', '9.00')
('VSPRW', '2.5300')
('VSSYW', '4.3000')
('VSTM', '2.3800')
('VTAQR', '0.8064')
('VTAQW', '1.2500')
('VTGN', '1.9200')
('VTNR', '2.0750')
('VTSI', '4.4000')
('VTVT', '2.4400')
('VVOS', '7.20')
('VXRT', '8.12')
('VYGR', '7.55')
('VYNE', '2.7787')
('WAFU', '7.35')
('WATT', '3.9800')
('WETF', '5.49')
('WHLM', '5.62')
('WHLR', '4.1100')
('WINT', '5.84')
('WISA', '3.7400')
('WKEY', '7.24')
('WNEB', '7.16')
('WORX', '2.3739')
('WRAP', '6.90')
('WSG', '2.4900')
('WTER', '1.3000')
('WTRH', '4.0300')
('WVVI', '7.18')
('WVVIP', '5.25')
('WWR', '9.42')
('XAIR', '6.50')
('XBIO', '2.9300')
('XBIOW', '2.2400')
('XCUR', '2.3500')
('XELA', '2.8635')
('XELB', '1.8600')
('XERS', '7.34')
('XFOR', '8.44')
('XNET', '5.87')
('XSPA', '2.1983')
('XTLB', '3.0000')
('YELL', '5.0800')
('YJ', '2.9200')
('YRCW', '5.46')
('YSACW', '1.5000')
('YTRA', '2.7600')
('YVR', '2.1335')
('ZAGG', '4.2600')
('ZCMD', '2.0900')
('ZGYHR', '0.4350')
('ZGYHW', '0.8700')
('ZIOP', '5.22')
('ZIXI', '9.84')
('ZKIN', '4.2300')
('ZNTEW', '3.3300')
('ZSAN', '1.1200')
('ZVO', '5.63')
('ZYNE', '5.38')
