('MCN', '7.11')
('MCR', '8.89')
('MDLQ', '7.96')
('MDLX', '7.70')
('MDLY', '9.26')
('MFA', '3.9200')
('MFD', '8.84')
('MFG', '2.8400')
('MFGP', '6.59')
('MFM', '6.71')
('MFV', '5.77')
('MG', '7.76')
('MGF', '4.5200')
('MGY', '9.85')
('MHF', '7.95')
('MIE', '2.8000')
('MIN', '3.7600')
('MITT', '3.6000')
('MMT', '6.18')
('MN', '6.61')
('MOGU', '3.4700')
('MPLN', '8.00')
('MRC', '9.83')
('MRO', '7.93')
('MSD', '9.37')
('MTL', '1.9000')
('MTR', '4.7800')
('MUFG', '4.8400')
('MUX', '1.1600')
('MVF', '9.32')
('MVO', '3.9499')
('MXE', '9.52')
('NAT', '3.2100')
('NCV', '5.87')
('NCZ', '5.21')
('NEW', '7.29')
('NEX', '3.8500')
('NEXA', '9.64')
('NFH', '8.90')
('NGL', '2.7200')
('NGS', '9.33')
('NHA', '9.86')
('NINE', '2.9200')
('NL', '4.8200')
('NLY', '8.47')
('NM', '4.8000')
('NMR', '5.67')
('NNA', '3.6600')
('NOA', '9.23')
('NOK', '4.3300')
('NR', '2.8000')
('NRGX', '9.00')
('NRT', '4.1000')
('NSCO', '8.09')
('NSL', '5.56')
('NTP', '8.87')
('NVGS', '9.45')
('NWG', '4.5700')
('NWHM', '5.53')
('NYC', '9.99')
('OIA', '8.00')
('OII', '9.85')
('OIS', '6.42')
('ONE', '3.9900')
('ORC', '5.39')
('ORN', '5.90')
('OSG', '2.1600')
('PBF', '9.55')
('PBI', '9.23')
('PBT', '3.8100')
('PCF', '8.84')
('PCK', '9.11')
('PGRE', '9.08')
('PHK', '6.23')
('PHT', '9.14')
('PHX', '3.1400')
('PIM', '4.2200')
('PMM', '8.16')
('PPR', '4.5500')
('PPT', '4.6800')
('PRT', '3.1000')
('PRTY', '8.01')
('PSO', '9.86')
('PUMP', '9.41')
('PVL', '1.1800')
('PYN', '9.17')
('PZN', '8.92')
('QD', '2.7200')
('QEP', '3.3000')
('QUAD', '5.60')
('QUOT', '9.80')
('RCS', '7.22')
('RENN', '7.77')
('RES', '5.01')
('RFP', '8.11')
('RIG', '3.5400')
('RLH', '3.4200')
('RNGR', '5.14')
('RPAI', '9.64')
('RPT', '9.70')
('RRC', '9.55')
('RRD', '2.4500')
('RWT', '9.44')
('RYAM', '8.73')
('RYB', '3.6399')
('SAN', '3.3500')
('SAND', '6.30')
('SB', '2.1800')
('SBI', '9.33')
('SBOW', '6.46')
('SBS', '7.51')
('SCX', '5.01')
('SD', '4.8800')
('SFE', '7.60')
('SFL', '6.84')
('SGU', '9.87')
('SID', '5.82')
('SJT', '3.8000')
('SLCA', '9.49')
('SMFG', '6.52')
('SMHI', '3.4300')
('SMM', '4.8300')
('SNR', '5.72')
('SOGO', '8.32')
('SOS', '3.9800')
('SQNS', '8.86')
('SRL', '8.40')
('SRT', '8.78')
('STG', '2.3700')
('STON', '3.1300')
('SUP', '5.55')
('SUPV', '1.8600')
('SWN', '4.1400')
('SWZ', '9.11')
('SXC', '5.73')
('TAC', '8.84')
('TALO', '9.35')
('TEF', '4.6200')
('TEI', '7.67')
('TEO', '6.62')
('TGS', '5.09')
('TK', '2.7300')
('TKC', '5.85')
('TMST', '5.49')
('TNP', '8.87')
('TPRE', '9.87')
('TREC', '7.17')
('TSI', '5.58')
('TTI', '2.2000')
('TV', '8.13')
('TWI', '7.50')
('TWO', '6.27')
('UGP', '4.4000')
('UMC', '9.53')
('USA', '7.24')
('USDP', '5.52')
('USX', '8.51')
('UTI', '6.51')
('VEDL', '9.70')
('VEL', '7.38')
('VET', '5.0200')
('VHC', '6.75')
('VIST', '2.7000')
('VIV', '8.99')
('VNCE', '8.80')
('VNTR', '4.1100')
('VOC', '2.7100')
('VVR', '4.1700')
('WEI', '1.9600')
('WIT', '6.43')
('WMC', '3.0800')
('WPX', '9.11')
('WSR', '8.35')
('WTI', '2.7200')
('WTTR', '6.09')
('XAN', '3.9400')
('XFLT', '8.21')
('XIN', '2.3800')
('XYF', '2.5000')
('YPF', '4.2900')
('YRD', '4.1200')
('ZTR', '8.74')
